start


confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=988 , Y=-55],  error Point2D [X=28 , Y=-175]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=986 , Y=-54],  error Point2D [X=26 , Y=-174]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=981 , Y=-65],  error Point2D [X=21 , Y=-185]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=985 , Y=-82],  error Point2D [X=25 , Y=-202]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=997 , Y=-70],  error Point2D [X=37 , Y=-190]
confirmPoint2D [X=960 , Y=120],  GazePoint2D [X=974 , Y=-70],  error Point2D [X=14 , Y=-190]


confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=132 , Y=638],  error Point2D [X=-60 , Y=38]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=125 , Y=634],  error Point2D [X=-67 , Y=34]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=79 , Y=525],  error Point2D [X=-113 , Y=-75]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=77 , Y=538],  error Point2D [X=-115 , Y=-62]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=140 , Y=616],  error Point2D [X=-52 , Y=16]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=136 , Y=628],  error Point2D [X=-56 , Y=28]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=79 , Y=542],  error Point2D [X=-113 , Y=-58]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=94 , Y=551],  error Point2D [X=-98 , Y=-49]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=123 , Y=610],  error Point2D [X=-69 , Y=10]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=141 , Y=646],  error Point2D [X=-51 , Y=46]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=91 , Y=553],  error Point2D [X=-101 , Y=-47]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=81 , Y=542],  error Point2D [X=-111 , Y=-58]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=146 , Y=639],  error Point2D [X=-46 , Y=39]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=139 , Y=658],  error Point2D [X=-53 , Y=58]
